Finished step 123 of 5004 in epoch 0,loss=5.255, acc=0.004 (776.178 img/s).
Finished step 124 of 5004 in epoch 0,loss=5.277, acc=0.023 (740.268 img/s).
Finished step 125 of 5004 in epoch 0,loss=5.295, acc=0.000 (747.480 img/s).
Finished step 126 of 5004 in epoch 0,loss=5.326, acc=0.000 (770.065 img/s).
Finished step 127 of 5004 in epoch 0,loss=5.336, acc=0.000 (762.148 img/s).
Finished step 128 of 5004 in epoch 0,loss=5.316, acc=0.004 (796.420 img/s).
Finished step 129 of 5004 in epoch 0,loss=5.318, acc=0.000 (766.715 img/s).
Finished step 130 of 5004 in epoch 0,loss=5.306, acc=0.008 (746.185 img/s).
Finished step 131 of 5004 in epoch 0,loss=5.312, acc=0.012 (744.588 img/s).
Finished step 132 of 5004 in epoch 0,loss=5.389, acc=0.016 (721.568 img/s).
Finished step 133 of 5004 in epoch 0,loss=5.318, acc=0.012 (628.161 img/s).
Finished step 134 of 5004 in epoch 0,loss=5.308, acc=0.012 (779.894 img/s).
Finished step 135 of 5004 in epoch 0,loss=5.300, acc=0.000 (747.927 img/s).
Finished step 136 of 5004 in epoch 0,loss=5.287, acc=0.008 (767.944 img/s).
Finished step 137 of 5004 in epoch 0,loss=5.305, acc=0.012 (632.342 img/s).
Finished step 138 of 5004 in epoch 0,loss=5.273, acc=0.004 (809.538 img/s).
Finished step 139 of 5004 in epoch 0,loss=5.261, acc=0.004 (750.230 img/s).
Finished step 140 of 5004 in epoch 0,loss=5.438, acc=0.000 (792.096 img/s).
Finished step 141 of 5004 in epoch 0,loss=5.316, acc=0.000 (758.444 img/s).
Finished step 142 of 5004 in epoch 0,loss=5.322, acc=0.012 (731.914 img/s).
Finished step 143 of 5004 in epoch 0,loss=5.299, acc=0.004 (697.659 img/s).
Finished step 144 of 5004 in epoch 0,loss=5.268, acc=0.000 (717.233 img/s).
Finished step 145 of 5004 in epoch 0,loss=5.435, acc=0.012 (781.276 img/s).
Finished step 146 of 5004 in epoch 0,loss=5.367, acc=0.012 (791.760 img/s).
Finished step 147 of 5004 in epoch 0,loss=5.316, acc=0.012 (716.202 img/s).
Finished step 148 of 5004 in epoch 0,loss=5.319, acc=0.000 (756.578 img/s).
Finished step 149 of 5004 in epoch 0,loss=5.262, acc=0.012 (746.787 img/s).
Finished step 150 of 5004 in epoch 0,loss=5.294, acc=0.008 (514.380 img/s).
Finished step 151 of 5004 in epoch 0,loss=5.316, acc=0.008 (536.325 img/s).
Finished step 152 of 5004 in epoch 0,loss=5.344, acc=0.000 (696.414 img/s).
Finished step 153 of 5004 in epoch 0,loss=5.430, acc=0.008 (722.015 img/s).
Finished step 154 of 5004 in epoch 0,loss=5.286, acc=0.000 (695.589 img/s).
Finished step 155 of 5004 in epoch 0,loss=5.360, acc=0.008 (689.201 img/s).
Finished step 156 of 5004 in epoch 0,loss=5.344, acc=0.000 (711.176 img/s).
Finished step 157 of 5004 in epoch 0,loss=5.352, acc=0.008 (764.320 img/s).
Finished step 158 of 5004 in epoch 0,loss=5.306, acc=0.008 (695.877 img/s).
Finished step 159 of 5004 in epoch 0,loss=5.276, acc=0.008 (694.654 img/s).
Finished step 160 of 5004 in epoch 0,loss=5.280, acc=0.004 (678.498 img/s).
Finished step 161 of 5004 in epoch 0,loss=5.305, acc=0.004 (693.231 img/s).
Finished step 162 of 5004 in epoch 0,loss=5.344, acc=0.004 (659.734 img/s).
Finished step 163 of 5004 in epoch 0,loss=5.340, acc=0.012 (687.495 img/s).
Finished step 164 of 5004 in epoch 0,loss=5.325, acc=0.012 (705.988 img/s).
Finished step 165 of 5004 in epoch 0,loss=5.376, acc=0.000 (733.113 img/s).
Finished step 166 of 5004 in epoch 0,loss=5.375, acc=0.020 (761.779 img/s).
Finished step 167 of 5004 in epoch 0,loss=5.299, acc=0.004 (718.441 img/s).
Finished step 168 of 5004 in epoch 0,loss=5.445, acc=0.000 (715.299 img/s).
Finished step 169 of 5004 in epoch 0,loss=5.291, acc=0.012 (698.005 img/s).
Finished step 170 of 5004 in epoch 0,loss=5.356, acc=0.012 (707.748 img/s).
Finished step 171 of 5004 in epoch 0,loss=5.355, acc=0.004 (713.509 img/s).
Finished step 172 of 5004 in epoch 0,loss=5.365, acc=0.012 (725.181 img/s).
Finished step 173 of 5004 in epoch 0,loss=5.270, acc=0.008 (668.651 img/s).
Finished step 174 of 5004 in epoch 0,loss=5.353, acc=0.004 (750.241 img/s).
Finished step 175 of 5004 in epoch 0,loss=5.387, acc=0.008 (777.862 img/s).
Finished step 176 of 5004 in epoch 0,loss=5.294, acc=0.016 (763.896 img/s).
Finished step 177 of 5004 in epoch 0,loss=5.391, acc=0.008 (658.078 img/s).
Finished step 178 of 5004 in epoch 0,loss=5.338, acc=0.000 (695.880 img/s).
Finished step 179 of 5004 in epoch 0,loss=5.348, acc=0.004 (806.758 img/s).
Finished step 180 of 5004 in epoch 0,loss=5.370, acc=0.008 (690.144 img/s).
Finished step 181 of 5004 in epoch 0,loss=5.268, acc=0.004 (670.314 img/s).
Finished step 182 of 5004 in epoch 0,loss=5.324, acc=0.008 (710.446 img/s).
Finished step 183 of 5004 in epoch 0,loss=5.347, acc=0.012 (743.154 img/s).
Finished step 184 of 5004 in epoch 0,loss=5.271, acc=0.016 (686.065 img/s).
Finished step 185 of 5004 in epoch 0,loss=5.409, acc=0.004 (635.971 img/s).
Finished step 186 of 5004 in epoch 0,loss=5.309, acc=0.004 (704.726 img/s).
Finished step 187 of 5004 in epoch 0,loss=5.343, acc=0.004 (698.292 img/s).
Finished step 188 of 5004 in epoch 0,loss=5.342, acc=0.000 (774.689 img/s).
Finished step 189 of 5004 in epoch 0,loss=5.285, acc=0.000 (810.256 img/s).
Finished step 190 of 5004 in epoch 0,loss=5.398, acc=0.004 (777.984 img/s).
Finished step 191 of 5004 in epoch 0,loss=5.354, acc=0.000 (810.568 img/s).
Finished step 192 of 5004 in epoch 0,loss=5.358, acc=0.004 (796.083 img/s).
